Genome,,,Bv-BRC Strains,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Pseudomonas,aeruginosa,strain,CH4602,,,PATRIC.287.12447.287.12447.con.0002.CDS.449075.450100.rev,PATRIC,CDS,449075,450100,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4634,,,PATRIC.287.12464.287.12464.con.0001.CDS.645146.646171.rev,PATRIC,CDS,645146,646171,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4681,,,PATRIC.287.12466.287.12466.con.0003.CDS.515705.516493.rev,PATRIC,CDS,515705,516493,789,-,,PLF_286_00001745,PGF_00780840,,262,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4684,,,PATRIC.287.12465.287.12465.con.0003.CDS.318237.319121.rev,PATRIC,CDS,318237,319121,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4703,,,PATRIC.287.12457.287.12457.con.0001.CDS.40352.41392.fwd,PATRIC,CDS,40352,41392,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4704,,,PATRIC.287.12456.287.12456.con.0004.CDS.439884.440909.rev,PATRIC,CDS,439884,440909,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4733,,,PATRIC.287.12463.287.12463.con.0001.CDS.249192.250217.fwd,PATRIC,CDS,249192,250217,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4745,,,PATRIC.287.12459.287.12459.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4755,,,PATRIC.287.12458.287.12458.con.0005.CDS.43154.44179.fwd,PATRIC,CDS,43154,44179,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4757,,,PATRIC.287.12460.287.12460.con.0003.CDS.197.1213.fwd,PATRIC,CDS,197,1213,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4766,,,PATRIC.287.12462.287.12462.con.0002.CDS.40427.41467.fwd,PATRIC,CDS,40427,41467,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4780,,,PATRIC.287.12461.287.12461.con.0001.CDS.492283.493308.rev,PATRIC,CDS,492283,493308,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4785,,,PATRIC.287.12474.287.12474.con.0004.CDS.458539.459558.rev,PATRIC,CDS,458539,459558,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4840,,,PATRIC.287.12473.287.12473.con.0004.CDS.431527.432555.rev,PATRIC,CDS,431527,432555,1029,-,,PLF_286_00001745,PGF_00780840,,342,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4860,,,PATRIC.287.12472.287.12472.con.0006.CDS.2386.3411.fwd,PATRIC,CDS,2386,3411,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4862,,,PATRIC.287.12476.287.12476.con.0002.CDS.505860.506879.rev,PATRIC,CDS,505860,506879,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4877,,,PATRIC.287.12477.287.12477.con.0003.CDS.40155.41180.fwd,PATRIC,CDS,40155,41180,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4878,,,PATRIC.287.12838.287.12838.con.0001.CDS.824973.826013.rev,PATRIC,CDS,824973,826013,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4891,,,PATRIC.287.12475.287.12475.con.0002.CDS.43154.44179.fwd,PATRIC,CDS,43154,44179,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4914,,,PATRIC.287.12469.287.12469.con.0003.CDS.21598.22617.fwd,PATRIC,CDS,21598,22617,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4916,,,PATRIC.287.12470.287.12470.con.0003.CDS.6343.7368.fwd,PATRIC,CDS,6343,7368,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4990,,,PATRIC.287.12467.287.12467.con.0001.CDS.947436.948476.rev,PATRIC,CDS,947436,948476,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH4992,,,PATRIC.287.12841.287.12841.con.0029.CDS.2386.3411.fwd,PATRIC,CDS,2386,3411,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5022,,,PATRIC.287.12837.287.12837.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5159,,,PATRIC.287.12846.287.12846.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5174,,,PATRIC.287.12847.287.12847.con.0002.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5182,,,PATRIC.287.12848.287.12848.con.0002.CDS.42050.43075.fwd,PATRIC,CDS,42050,43075,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5193,,,PATRIC.287.12471.287.12471.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5206,,,PATRIC.287.12468.287.12468.con.0004.CDS.402742.403416.rev,PATRIC,CDS,402742,403416,675,-,,PLF_286_00001745,PGF_00780840,,224,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5262,,,PATRIC.287.12480.287.12480.con.0001.CDS.824975.825859.rev,PATRIC,CDS,824975,825859,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5267,,,PATRIC.287.12479.287.12479.con.0001.CDS.39048.40073.fwd,PATRIC,CDS,39048,40073,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5291,,,PATRIC.287.12482.287.12482.con.0004.CDS.38767.39792.fwd,PATRIC,CDS,38767,39792,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5334,,,PATRIC.287.12481.287.12481.con.0034.CDS.50866.51891.rev,PATRIC,CDS,50866,51891,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5353,,,PATRIC.287.12478.287.12478.con.0004.CDS.435992.437032.rev,PATRIC,CDS,435992,437032,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5356,,,PATRIC.287.12484.287.12484.con.0001.CDS.1054150.1055190.rev,PATRIC,CDS,1054150,1055190,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5362,,,PATRIC.287.12483.287.12483.con.0004.CDS.46536.47555.fwd,PATRIC,CDS,46536,47555,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5363,,,PATRIC.287.12488.287.12488.con.0001.CDS.46562.47581.fwd,PATRIC,CDS,46562,47581,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5387,,,PATRIC.287.12487.287.12487.con.0007.CDS.46445.47464.fwd,PATRIC,CDS,46445,47464,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5432,,,PATRIC.287.12486.287.12486.con.0001.CDS.40227.41246.fwd,PATRIC,CDS,40227,41246,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5462,,,PATRIC.287.12485.287.12485.con.0009.CDS.42872.43897.fwd,PATRIC,CDS,42872,43897,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5464,,,PATRIC.287.12498.287.12498.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5478,,,PATRIC.287.12495.287.12495.con.0037.CDS.13406.14431.fwd,PATRIC,CDS,13406,14431,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5528,,,PATRIC.287.12499.287.12499.con.0004.CDS.353970.354884.rev,PATRIC,CDS,353970,354884,915,-,,PLF_286_00001745,PGF_00780840,,304,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5531,,,PATRIC.287.12496.287.12496.con.0003.CDS.451590.452630.rev,PATRIC,CDS,451590,452630,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5548,,,PATRIC.287.12497.287.12497.con.0006.CDS.40526.41566.fwd,PATRIC,CDS,40526,41566,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5550,,,PATRIC.287.12489.287.12489.con.0003.CDS.40422.41462.fwd,PATRIC,CDS,40422,41462,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5551,,,PATRIC.287.12493.287.12493.con.0004.CDS.362072.363091.rev,PATRIC,CDS,362072,363091,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5591,,,PATRIC.287.12491.287.12491.con.0003.CDS.40155.41180.fwd,PATRIC,CDS,40155,41180,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5596,,,PATRIC.287.12492.287.12492.con.0001.CDS.439931.440956.rev,PATRIC,CDS,439931,440956,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5597,,,PATRIC.287.12490.287.12490.con.0002.CDS.42033.43058.fwd,PATRIC,CDS,42033,43058,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5621,,,PATRIC.287.12494.287.12494.con.0003.CDS.446855.447880.rev,PATRIC,CDS,446855,447880,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5638,,,PATRIC.287.12509.287.12509.con.0003.CDS.557396.558436.rev,PATRIC,CDS,557396,558436,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5666,,,PATRIC.287.12510.287.12510.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5688,,,PATRIC.287.12508.287.12508.con.0003.CDS.32001.33026.fwd,PATRIC,CDS,32001,33026,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,CH5695,,,PATRIC.287.12507.287.12507.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP002,,,PATRIC.287.12658.287.12658.con.0005.CDS.42039.43064.fwd,PATRIC,CDS,42039,43064,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP003,,,PATRIC.287.12657.287.12657.con.0002.CDS.853825.854709.rev,PATRIC,CDS,853825,854709,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP004,,,PATRIC.287.12673.287.12673.con.0002.CDS.45172.46056.fwd,PATRIC,CDS,45172,46056,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP006,,,PATRIC.287.12672.287.12672.con.0004.CDS.411433.412461.rev,PATRIC,CDS,411433,412461,1029,-,,PLF_286_00001745,PGF_00780840,,342,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP009,,,PATRIC.287.12674.287.12674.con.0003.CDS.785859.786884.rev,PATRIC,CDS,785859,786884,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP011,,,PATRIC.287.12686.287.12686.con.0003.CDS.629246.630286.rev,PATRIC,CDS,629246,630286,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP012,,,PATRIC.287.12684.287.12684.con.0001.CDS.760594.761634.fwd,PATRIC,CDS,760594,761634,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP013,,,PATRIC.287.12685.287.12685.con.0001.CDS.460027.461067.rev,PATRIC,CDS,460027,461067,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP015,,,PATRIC.287.12683.287.12683.con.0004.CDS.43151.44176.fwd,PATRIC,CDS,43151,44176,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP020,,,PATRIC.287.12681.287.12681.con.0003.CDS.406958.407983.rev,PATRIC,CDS,406958,407983,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas,aeruginosa,strain,ESP021,,,PATRIC.287.12682.287.12682.con.0001.CDS.42111.43127.fwd,PATRIC,CDS,42111,43127,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
